epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,418.057,1.74706,1.40881,1.55083,0.69955,0.45833,0.54644,0.18781,2.23473,1.84367,2.00347,0.001307,0.001307,0.001307
44,426.744,1.68797,1.38003,1.49966,0.67556,0.54167,0.5634,0.17962,2.30033,1.86547,2.10202,0.0012905,0.0012905,0.0012905
45,435.716,1.7095,1.36771,1.50034,0.64588,0.625,0.62071,0.20158,2.25074,1.88735,2.04332,0.001274,0.001274,0.001274
46,445.352,1.72035,1.3703,1.50092,0.80161,0.58333,0.70988,0.23988,2.23249,2.00302,2.15247,0.0012575,0.0012575,0.0012575
47,453.908,1.6463,1.37637,1.51421,0.71967,0.64226,0.63801,0.2048,2.2811,1.97249,2.15405,0.001241,0.001241,0.001241
48,462.548,1.69607,1.29398,1.49694,0.91554,0.45213,0.60357,0.20177,2.32631,1.84361,2.21555,0.0012245,0.0012245,0.0012245
49,471.102,1.65094,1.24756,1.48223,0.66405,0.5,0.54254,0.17358,2.3411,1.97444,2.16669,0.001208,0.001208,0.001208
50,479.61,1.64338,1.2232,1.4658,0.56133,0.54167,0.48834,0.17823,2.38654,1.96076,2.16438,0.0011915,0.0011915,0.0011915
51,488.364,1.66364,1.27175,1.53824,0.61217,0.52663,0.55541,0.20056,2.23803,1.66756,2.0819,0.001175,0.001175,0.001175
52,497.085,1.6628,1.27534,1.47008,0.62456,0.70833,0.65771,0.1986,2.2541,1.62629,2.09846,0.0011585,0.0011585,0.0011585
53,505.702,1.67533,1.28112,1.47787,0.60041,0.58333,0.64571,0.24181,2.21671,1.71583,2.04096,0.001142,0.001142,0.001142
54,514.345,1.60124,1.23991,1.452,0.71446,0.62555,0.63802,0.23083,2.30542,1.66519,2.05466,0.0011255,0.0011255,0.0011255
55,523.009,1.60888,1.24264,1.4313,0.7353,0.58333,0.65576,0.26096,2.22978,1.61029,1.94355,0.001109,0.001109,0.001109
56,531.66,1.57034,1.22042,1.41952,0.7547,0.625,0.64578,0.23095,2.21871,1.54392,2.04993,0.0010925,0.0010925,0.0010925
57,540.441,1.62331,1.24753,1.45193,0.75617,0.51747,0.63595,0.193,2.3237,1.69119,2.19417,0.001076,0.001076,0.001076
58,549.705,1.59033,1.2088,1.40896,0.75737,0.58333,0.67603,0.20598,2.30202,1.71099,2.17857,0.0010595,0.0010595,0.0010595
59,558.538,1.54633,1.22044,1.44121,0.73268,0.58333,0.69323,0.22042,2.22212,1.61921,2.14262,0.001043,0.001043,0.001043
60,567.419,1.54284,1.12923,1.40142,0.64528,0.54167,0.57949,0.1647,2.31537,1.66675,2.22771,0.0010265,0.0010265,0.0010265
61,576.114,1.57634,1.18675,1.44214,0.77659,0.5,0.58444,0.21188,2.23796,1.73146,2.17912,0.00101,0.00101,0.00101
62,584.764,1.50384,1.14548,1.40768,0.65688,0.625,0.65371,0.22216,2.17632,1.56719,2.25585,0.0009935,0.0009935,0.0009935
63,593.239,1.53844,1.17036,1.42049,0.56305,0.58333,0.60198,0.18941,2.22201,1.63731,2.15039,0.000977,0.000977,0.000977
64,602.133,1.53956,1.14085,1.39294,0.65235,0.70833,0.66998,0.23441,2.17408,1.65356,2.02459,0.0009605,0.0009605,0.0009605
65,611.066,1.5721,1.14601,1.43897,0.86391,0.52962,0.66145,0.24474,2.12153,1.6013,1.96776,0.000944,0.000944,0.000944
66,619.95,1.55073,1.17984,1.41794,0.78471,0.625,0.6761,0.23096,2.20844,1.54029,2.08956,0.0009275,0.0009275,0.0009275
67,628.639,1.53777,1.15681,1.39544,0.74323,0.625,0.65957,0.20459,2.33944,1.56466,2.25242,0.000911,0.000911,0.000911
68,637.233,1.49706,1.1056,1.37916,0.80726,0.58333,0.63811,0.23858,2.36603,1.67541,2.12159,0.0008945,0.0008945,0.0008945
69,645.952,1.50441,1.14546,1.37135,0.72231,0.58333,0.59123,0.17856,2.46503,1.75112,2.19044,0.000878,0.000878,0.000878
70,654.672,1.50553,1.12068,1.40418,0.60783,0.6462,0.56721,0.15773,2.44906,1.81769,2.34197,0.0008615,0.0008615,0.0008615
71,663.292,1.48337,1.1053,1.39015,0.70402,0.58333,0.54184,0.15653,2.47971,1.64229,2.44999,0.000845,0.000845,0.000845
72,672.321,1.47686,1.11979,1.38995,0.66269,0.54167,0.528,0.16767,2.47648,1.67356,2.33729,0.0008285,0.0008285,0.0008285
73,680.985,1.52517,1.13716,1.41928,0.63513,0.5,0.54086,0.13665,2.52616,1.77512,2.38431,0.000812,0.000812,0.000812
74,689.779,1.45958,1.08652,1.36795,0.58675,0.5,0.55203,0.16921,2.4349,1.71502,2.41581,0.0007955,0.0007955,0.0007955
75,698.398,1.46158,1.08716,1.35907,0.62744,0.58333,0.55515,0.15046,2.42341,1.66108,2.41848,0.000779,0.000779,0.000779
76,707.282,1.42331,1.0541,1.38368,0.7688,0.55471,0.64143,0.18934,2.38132,1.66215,2.45425,0.0007625,0.0007625,0.0007625
77,716.272,1.44148,1.03802,1.3372,0.66207,0.57184,0.60098,0.17443,2.53497,1.59018,2.50237,0.000746,0.000746,0.000746
78,725.115,1.47353,1.09082,1.37711,0.47697,0.66667,0.60296,0.16783,2.46214,1.69873,2.34198,0.0007295,0.0007295,0.0007295
79,733.942,1.4352,1.0772,1.35713,0.51546,0.70833,0.66438,0.16624,2.59954,1.54872,2.58819,0.000713,0.000713,0.000713
80,742.76,1.45573,1.03578,1.36438,0.74022,0.41667,0.57728,0.16586,2.50075,1.63247,2.43996,0.0006965,0.0006965,0.0006965
81,751.383,1.43521,1.08386,1.39309,0.75199,0.5,0.55493,0.16573,2.6233,1.71749,2.57403,0.00068,0.00068,0.00068
82,759.999,1.39568,0.99305,1.31359,0.54783,0.5,0.5382,0.18789,2.41591,1.78493,2.37208,0.0006635,0.0006635,0.0006635
83,768.502,1.41133,1.00482,1.32811,0.66626,0.49914,0.52125,0.19244,2.39453,1.93855,2.24897,0.000647,0.000647,0.000647
